weekday,hour,mode,fatal_num
2,12,motor,25
2,12,van,17
2,12,truck,3
2,12,sedean,31
2,12,van,4
2,12,motor,14
2,13,motor,13
2,13,motor,12
2,13,motor,31
2,13,truck,26
2,13,truck,3
2,13,motor,44
2,13,motor,11
2,13,van,7
2,14,truck,13
2,14,van,9
2,14,truck,36
2,14,motor,20
2,14,motor,3
2,14,motor,40
2,14,motor,13
2,14,sedean,7
2,15,sedean,15
2,15,sedean,14
2,15,sedean,34
2,15,truck,21
2,15,sedean,11
2,15,van,46
2,15,motor,10
2,15,truck,20
2,16,sedean,16
2,16,van,13
2,16,sedean,29
2,16,van,26
2,16,truck,4
2,16,sedean,34
2,16,van,7
2,16,van,14
2,17,van,13
2,17,sedean,6
2,17,truck,36
2,17,motor,27
2,17,truck,6
2,17,motor,52
2,17,van,7
2,17,truck,14
2,18,motor,20
2,18,van,9
2,18,van,30
2,18,motor,24
2,18,truck,6
2,18,truck,36
2,18,van,7
2,18,motor,14
2,19,sedean,12
2,19,truck,7
2,19,van,21
2,19,van,10
2,19,truck,11
2,19,motor,35
2,19,van,10
2,19,truck,16
2,20,truck,10
2,20,van,7
2,20,truck,16
2,20,van,12
2,20,van,6
2,20,motor,43
2,20,motor,3
2,20,sedean,17
2,21,van,16
2,21,sedean,2
2,21,motor,19
2,21,motor,12
2,21,motor,5
2,21,sedean,37
2,21,motor,5
2,21,sedean,11
2,22,truck,11
2,22,van,5
2,22,motor,13
2,22,motor,3
2,22,motor,7
2,22,motor,33
2,22,motor,4
2,22,truck,15
2,23,van,8
2,23,motor,5
2,23,sedean,5
2,23,sedean,4
2,23,sedean,4
2,23,truck,32
2,23,motor,6
2,23,truck,10
3,0,van,6
3,0,van,3
3,0,truck,3
3,0,truck,1
3,0,sedean,5
3,0,truck,20
3,0,truck,2
3,0,truck,8
3,1,sedean,10
3,1,motor,2
3,1,sedean,1
3,1,motor,5
3,1,motor,22
3,1,sedean,5
3,1,truck,9
3,2,truck,6
3,2,motor,1
3,2,van,3
3,2,motor,4
3,2,motor,13
3,2,van,1
3,2,sedean,5
3,3,motor,9
3,3,van,3
3,3,truck,3
3,3,truck,2
3,3,sedean,13
3,3,truck,2
3,3,motor,10
3,4,motor,5
3,4,sedean,4
3,4,sedean,2
3,4,van,6
3,4,truck,2
3,4,van,14
3,4,motor,1
3,4,van,4
3,5,sedean,5
3,5,van,2
3,5,van,12
3,5,motor,8
3,5,motor,4
3,5,truck,28
3,5,sedean,5
3,5,sedean,8
3,6,van,12
3,6,motor,5
3,6,motor,18
3,6,motor,19
3,6,truck,2
3,6,van,30
3,6,sedean,9
3,6,truck,9
3,7,truck,11
3,7,van,7
3,7,truck,24
3,7,motor,24
3,7,sedean,5
3,7,motor,33
3,7,motor,8
3,7,sedean,11
3,8,van,6
3,8,truck,7
3,8,motor,25
3,8,van,20
3,8,sedean,2
3,8,truck,30
3,8,truck,11
3,8,sedean,7
3,9,van,10
3,9,sedean,8
3,9,van,26
3,9,motor,15
3,9,van,3
3,9,motor,26
3,9,motor,5
3,9,van,10
3,10,van,11
3,10,truck,14
3,10,truck,25
3,10,motor,19
3,10,sedean,1
3,10,truck,21
3,10,sedean,5
3,10,van,4
3,11,truck,9
3,11,motor,11
3,11,sedean,24
3,11,motor,16
3,11,truck,2
3,11,sedean,20
3,11,truck,6
3,11,truck,7
3,12,van,15
3,12,truck,12
3,12,truck,24
3,12,truck,18
3,12,truck,4
3,12,sedean,33
3,12,van,6
3,12,sedean,7
3,13,van,22
3,13,sedean,15
3,13,motor,27
3,13,motor,13
3,13,sedean,6
3,13,van,36
3,13,motor,5
3,13,van,14
3,14,sedean,10
3,14,motor,14
3,14,truck,33
3,14,truck,21
3,14,sedean,7
3,14,sedean,34
3,14,van,11
3,14,truck,13
3,15,sedean,17
3,15,truck,6
3,15,van,31
3,15,motor,29
3,15,truck,9
3,15,van,58
3,15,motor,7
3,15,sedean,13
3,16,motor,15
3,16,van,11
3,16,truck,35
3,16,motor,21
3,16,motor,6
3,16,truck,35
3,16,van,9
3,16,truck,9
3,17,motor,20
3,17,motor,18
3,17,truck,43
3,17,truck,29
3,17,motor,7
3,17,truck,47
3,17,motor,11
3,17,sedean,13
3,18,motor,13
3,18,truck,13
3,18,motor,34
3,18,sedean,24
3,18,van,8
3,18,sedean,36
3,18,van,13
3,18,van,16
3,19,sedean,10
3,19,van,13
3,19,sedean,19
3,19,van,21
3,19,truck,10
3,19,truck,34
3,19,truck,7
3,19,van,6
3,20,truck,14
3,20,truck,9
3,20,sedean,7
3,20,sedean,13
3,20,van,6
3,20,motor,43
3,20,truck,7
3,20,motor,14
3,21,motor,13
3,21,truck,7
3,21,truck,13
3,21,motor,13
3,21,truck,11
3,21,sedean,33
3,21,van,10
3,21,van,10
3,22,truck,7
3,22,motor,5
3,22,truck,8
3,22,motor,8
3,22,van,5
3,22,truck,38
3,22,motor,4
3,22,van,13
3,23,truck,12
3,23,sedean,1
3,23,truck,6
3,23,van,5
3,23,sedean,5
3,23,sedean,22
3,23,truck,5
3,23,sedean,10
4,0,motor,11
4,0,van,6
4,0,motor,3
4,0,motor,6
4,0,truck,6
4,0,sedean,16
4,0,sedean,6
4,0,motor,10
4,1,van,8
4,1,van,3
4,1,van,7
4,1,truck,6
4,1,motor,13
4,1,truck,4
4,1,truck,14
4,2,sedean,10
4,2,motor,3
4,2,motor,2
4,2,truck,4
4,2,motor,28
4,2,motor,3
4,2,motor,8
4,3,truck,5
4,3,van,3
4,3,sedean,1
4,3,van,5
4,3,truck,4
4,3,truck,19
4,3,van,3
4,3,truck,9
4,4,motor,7
4,4,truck,4
4,4,truck,3
4,4,van,5
4,4,truck,2
4,4,motor,15
4,4,motor,2
4,4,van,8
4,5,van,9
4,5,van,7
4,5,sedean,13
4,5,truck,20
4,5,sedean,3
4,5,motor,26
4,5,motor,5
4,5,sedean,11
4,6,truck,8
4,6,van,7
4,6,van,16
4,6,motor,18
4,6,van,7
4,6,van,30
4,6,truck,7
4,6,sedean,11
4,7,truck,17
4,7,van,6
4,7,sedean,21
4,7,sedean,21
4,7,van,1
4,7,sedean,29
4,7,sedean,11
4,7,van,15
4,8,van,9
4,8,sedean,7
4,8,van,20
4,8,motor,17
4,8,truck,3
4,8,sedean,31
4,8,sedean,5
4,8,sedean,6
4,9,motor,14
4,9,van,13
4,9,motor,19
4,9,motor,14
4,9,sedean,6
4,9,motor,19
4,9,motor,7
4,9,truck,9
4,10,van,10
4,10,van,9
4,10,van,16
4,10,truck,13
4,10,motor,1
4,10,sedean,26
4,10,truck,7
4,10,truck,8
4,11,truck,8
4,11,truck,12
4,11,truck,32
4,11,sedean,15
4,11,sedean,4
4,11,sedean,21
4,11,truck,3
4,11,truck,12
4,12,sedean,10
4,12,motor,19
4,12,sedean,28
4,12,truck,19
4,12,van,4
4,12,van,32
4,12,sedean,9
4,12,truck,10
4,13,sedean,15
4,13,truck,13
4,13,motor,28
4,13,truck,23
4,13,van,4
4,13,van,36
4,13,sedean,9
4,13,van,12
4,14,sedean,14
4,14,sedean,13
4,14,sedean,31
4,14,sedean,29
4,14,truck,8
4,14,sedean,37
4,14,truck,9
4,14,sedean,13
4,15,van,28
4,15,sedean,8
4,15,motor,29
4,15,motor,23
4,15,van,4
4,15,truck,54
4,15,motor,6
4,15,van,15
4,16,sedean,18
4,16,truck,11
4,16,sedean,31
4,16,van,38
4,16,motor,8
4,16,van,28
4,16,van,6
4,16,motor,6
4,17,sedean,19
4,17,motor,5
4,17,truck,42
4,17,motor,31
4,17,sedean,8
4,17,van,50
4,17,truck,7
4,17,van,17
4,18,van,21
4,18,van,13
4,18,motor,33
4,18,truck,21
4,18,sedean,6
4,18,van,48
4,18,motor,13
4,18,sedean,10
4,19,sedean,7
4,19,sedean,16
4,19,sedean,33
4,19,truck,18
4,19,van,7
4,19,van,33
4,19,van,4
4,19,van,15
4,20,motor,18
4,20,motor,11
4,20,motor,19
4,20,van,12
4,20,motor,8
4,20,van,36
4,20,sedean,8
4,20,sedean,14
4,21,truck,19
4,21,truck,7
4,21,truck,24
4,21,motor,20
4,21,truck,11
4,21,motor,28
4,21,sedean,10
4,21,truck,13
4,22,truck,16
4,22,truck,9
4,22,sedean,12
4,22,truck,14
4,22,van,3
4,22,motor,33
4,22,van,3
4,22,truck,13
4,23,van,8
4,23,van,2
4,23,motor,7
4,23,sedean,11
4,23,motor,7
4,23,motor,23
4,23,van,12
4,23,sedean,9
5,0,van,17
5,0,sedean,1
5,0,van,4
5,0,truck,14
5,0,sedean,7
5,0,truck,31
5,0,motor,10
5,0,motor,6
5,1,motor,13
5,1,truck,5
5,1,truck,1
5,1,truck,7
5,1,van,7
5,1,van,29
5,1,motor,3
5,1,sedean,15
5,2,sedean,16
5,2,van,6
5,2,truck,8
5,2,motor,7
5,2,van,26
5,2,motor,5
5,2,van,10
5,3,motor,7
5,3,van,1
5,3,sedean,3
5,3,motor,6
5,3,sedean,6
5,3,van,22
5,3,motor,2
5,3,truck,10
5,4,truck,6
5,4,motor,3
5,4,van,2
5,4,truck,5
5,4,truck,2
5,4,sedean,17
5,4,truck,3
5,4,van,9
5,5,motor,10
5,5,motor,6
5,5,motor,11
5,5,truck,10
5,5,motor,2
5,5,motor,29
5,5,van,1
5,5,van,14
5,6,truck,9
5,6,motor,8
5,6,truck,20
5,6,van,25
5,6,motor,1
5,6,van,32
5,6,van,6
5,6,truck,10
5,7,sedean,16
5,7,van,4
5,7,motor,21
5,7,motor,20
5,7,sedean,4
5,7,van,32
5,7,van,9
5,7,van,11
5,8,truck,6
5,8,sedean,11
5,8,truck,31
5,8,truck,11
5,8,van,18
5,8,truck,8
5,8,sedean,6
5,9,truck,9
5,9,motor,10
5,9,truck,19
5,9,van,24
5,9,van,2
5,9,van,29
5,9,truck,7
5,9,motor,7
5,10,truck,14
5,10,truck,5
5,10,sedean,24
5,10,motor,14
5,10,motor,2
5,10,motor,25
5,10,truck,7
5,10,truck,9
5,11,motor,13
5,11,van,9
5,11,truck,25
5,11,van,20
5,11,van,7
5,11,truck,22
5,11,motor,8
5,11,motor,8
5,12,sedean,12
5,12,motor,3
5,12,van,21
5,12,truck,18
5,12,truck,7
5,12,truck,32
5,12,van,8
5,12,sedean,6
5,13,motor,10
5,13,sedean,13
5,13,sedean,30
5,13,truck,27
5,13,van,9
5,13,van,38
5,13,truck,6
5,13,motor,10
5,14,motor,22
5,14,van,9
5,14,van,41
5,14,van,22
5,14,motor,5
5,14,motor,44
5,14,motor,14
5,14,sedean,10
5,15,sedean,19
5,15,truck,13
5,15,truck,37
5,15,truck,26
5,15,truck,6
5,15,motor,39
5,15,sedean,7
5,15,truck,10
5,16,van,16
5,16,motor,11
5,16,van,29
5,16,sedean,25
5,16,van,7
5,16,van,46
5,16,truck,10
5,16,sedean,14
5,17,sedean,22
5,17,sedean,9
5,17,truck,37
5,17,truck,26
5,17,van,9
5,17,sedean,52
5,17,motor,5
5,17,truck,16
5,18,motor,13
5,18,sedean,9
5,18,motor,41
5,18,van,23
5,18,truck,11
5,18,sedean,49
5,18,motor,5
5,18,motor,12
5,19,truck,13
5,19,van,8
5,19,van,34
5,19,van,21
5,19,motor,13
5,19,van,38
5,19,van,4
5,19,van,15
5,20,van,15
5,20,sedean,10
5,20,motor,26
5,20,van,17
5,20,truck,6
5,20,truck,40
5,20,truck,3
5,20,motor,13
5,21,van,8
5,21,truck,6
5,21,truck,19
5,21,truck,14
5,21,motor,11
5,21,sedean,49
5,21,truck,7
5,21,sedean,17
5,22,truck,19
5,22,truck,8
5,22,motor,12
5,22,truck,13
5,22,truck,9
5,22,sedean,41
5,22,motor,10
5,22,van,14
5,23,sedean,13
5,23,van,6
5,23,truck,11
5,23,motor,7
5,23,truck,8
5,23,van,39
5,23,motor,7
5,23,truck,16
6,0,sedean,17
6,0,sedean,6
6,0,motor,5
6,0,sedean,12
6,0,truck,8
6,0,motor,30
6,0,motor,6
6,0,truck,8
6,1,truck,30
6,1,motor,3
6,1,motor,3
6,1,truck,6
6,1,sedean,12
6,1,truck,29
6,1,motor,6
6,1,sedean,18
6,2,van,11
6,2,van,6
6,2,motor,2
6,2,truck,5
6,2,van,8
6,2,motor,19
6,2,van,3
6,2,motor,12
6,3,motor,9
6,3,sedean,2
6,3,truck,2
6,3,truck,9
6,3,sedean,6
6,3,sedean,21
6,3,motor,8
6,3,van,12
6,4,motor,7
6,4,sedean,2
6,4,van,2
6,4,truck,8
6,4,van,2
6,4,motor,24
6,4,van,4
6,4,sedean,10
6,5,van,7
6,5,sedean,6
6,5,truck,10
6,5,truck,12
6,5,sedean,5
6,5,truck,25
6,5,motor,3
6,5,sedean,8
6,6,motor,14
6,6,sedean,5
6,6,sedean,19
6,6,motor,19
6,6,motor,5
6,6,van,31
6,6,sedean,4
6,6,motor,11
6,7,motor,4
6,7,motor,8
6,7,van,26
6,7,van,25
6,7,motor,1
6,7,truck,37
6,7,motor,15
6,7,truck,14
6,8,truck,14
6,8,sedean,13
6,8,van,22
6,8,motor,24
6,8,sedean,4
6,8,truck,18
6,8,sedean,4
6,8,truck,7
6,9,motor,8
6,9,motor,5
6,9,motor,14
6,9,motor,13
6,9,van,1
6,9,motor,35
6,9,sedean,7
6,9,van,7
6,10,van,10
6,10,sedean,9
6,10,truck,18
6,10,truck,11
6,10,motor,6
6,10,van,23
6,10,sedean,8
6,10,van,11
6,11,truck,13
6,11,motor,12
6,11,sedean,30
6,11,sedean,21
6,11,truck,4
6,11,truck,25
6,11,truck,3
6,11,motor,9
6,12,truck,19
6,12,truck,16
6,12,sedean,26
6,12,sedean,23
6,12,sedean,5
6,12,truck,35
6,12,truck,3
6,12,van,12
6,13,motor,12
6,13,van,4
6,13,sedean,39
6,13,truck,26
6,13,motor,6
6,13,sedean,48
6,13,van,17
6,13,sedean,8
6,14,motor,21
6,14,van,15
6,14,motor,34
6,14,sedean,33
6,14,motor,4
6,14,sedean,29
6,14,van,7
6,14,van,11
6,15,truck,19
6,15,sedean,14
6,15,van,43
6,15,van,30
6,15,truck,11
6,15,motor,43
6,15,motor,14
6,15,van,6
6,16,sedean,22
6,16,motor,26
6,16,truck,33
6,16,sedean,27
6,16,sedean,8
6,16,van,53
6,16,sedean,10
6,16,motor,14
6,17,truck,20
6,17,motor,9
6,17,truck,41
6,17,sedean,33
6,17,truck,11
6,17,motor,43
6,17,van,8
6,17,truck,15
6,18,sedean,16
6,18,van,16
6,18,truck,29
6,18,van,20
6,18,truck,11
6,18,sedean,45
6,18,motor,8
6,18,van,13
6,19,van,19
6,19,sedean,12
6,19,motor,24
6,19,truck,25
6,19,sedean,8
6,19,van,42
6,19,sedean,12
6,19,motor,17
6,20,sedean,19
6,20,van,6
6,20,van,30
6,20,truck,19
6,20,van,11
6,20,truck,44
6,20,van,14
6,20,sedean,25
6,21,sedean,14
6,21,sedean,9
6,21,van,18
6,21,motor,25
6,21,van,6
6,21,van,68
6,21,van,9
6,21,sedean,20
6,22,motor,17
6,22,sedean,13
6,22,truck,14
6,22,sedean,20
6,22,van,12
6,22,sedean,45
6,22,sedean,11
6,22,truck,25
6,23,sedean,20
6,23,truck,12
6,23,motor,5
6,23,sedean,9
6,23,sedean,13
6,23,motor,50
6,23,motor,10
6,23,motor,24
7,0,sedean,25
7,0,sedean,10
7,0,sedean,8
7,0,motor,16
7,0,truck,18
7,0,truck,56
7,0,sedean,12
7,0,van,22
7,1,van,30
7,1,sedean,12
7,1,van,8
7,1,van,22
7,1,sedean,19
7,1,motor,60
7,1,truck,10
7,1,truck,22
7,2,truck,20
7,2,van,12
7,2,truck,7
7,2,van,16
7,2,van,16
7,2,sedean,64
7,2,motor,9
7,2,truck,17
7,3,truck,27
7,3,motor,4
7,3,motor,1
7,3,truck,19
7,3,motor,9
7,3,sedean,45
7,3,truck,9
7,3,truck,32
7,4,sedean,7
7,4,sedean,4
7,4,sedean,3
7,4,sedean,13
7,4,sedean,8
7,4,sedean,26
7,4,van,13
7,4,van,15
7,5,motor,10
7,5,sedean,10
7,5,van,5
7,5,van,16
7,5,truck,3
7,5,sedean,30
7,5,van,9
7,5,motor,14
7,6,van,12
7,6,van,8
7,6,truck,6
7,6,van,17
7,6,motor,29
7,6,truck,9
7,6,van,11
7,7,sedean,9
7,7,van,5
7,7,sedean,5
7,7,truck,14
7,7,truck,3
7,7,van,26
7,7,van,10
7,7,van,5
7,8,truck,8
7,8,sedean,8
7,8,sedean,9
7,8,van,13
7,8,van,4
7,8,motor,18
7,8,sedean,2
7,8,van,5
7,9,truck,10
7,9,van,7
7,9,van,15
7,9,motor,13
7,9,van,1
7,9,sedean,24
7,9,van,9
7,9,truck,5
7,10,van,15
7,10,van,12
7,10,truck,25
7,10,motor,25
7,10,truck,3
7,10,sedean,38
7,10,sedean,8
7,10,motor,7
7,11,truck,11
7,11,sedean,14
7,11,motor,25
7,11,motor,17
7,11,sedean,2
7,11,van,38
7,11,motor,8
7,11,sedean,8
7,12,truck,17
7,12,van,4
7,12,truck,26
7,12,sedean,21
7,12,van,2
7,12,motor,37
7,12,sedean,8
7,12,truck,6
7,13,sedean,13
7,13,van,10
7,13,truck,21
7,13,sedean,27
7,13,truck,1
7,13,truck,39
7,13,sedean,11
7,13,truck,9
7,14,truck,22
7,14,sedean,8
7,14,truck,30
7,14,van,33
7,14,motor,10
7,14,sedean,33
7,14,motor,11
7,14,sedean,5
7,15,sedean,19
7,15,truck,8
7,15,sedean,29
7,15,truck,25
7,15,motor,7
7,15,truck,56
7,15,van,16
7,15,sedean,12
7,16,sedean,25
7,16,truck,10
7,16,sedean,29
7,16,truck,20
7,16,truck,7
7,16,truck,46
7,16,truck,11
7,16,van,16
7,17,truck,27
7,17,motor,11
7,17,sedean,31
7,17,truck,26
7,17,truck,10
7,17,motor,63
7,17,sedean,12
7,17,sedean,8
7,18,van,16
7,18,sedean,13
7,18,sedean,30
7,18,van,23
7,18,motor,8
7,18,truck,47
7,18,van,12
7,18,motor,11
7,19,truck,29
7,19,motor,9
7,19,sedean,21
7,19,sedean,19
7,19,van,13
7,19,motor,53
7,19,truck,11
7,19,motor,17
7,20,truck,30
7,20,truck,8
7,20,van,23
7,20,van,16
7,20,motor,8
7,20,motor,66
7,20,sedean,11
7,20,van,19
7,21,truck,20
7,21,truck,16
7,21,sedean,27
7,21,sedean,10
7,21,van,12
7,21,motor,52
7,21,van,17
7,21,van,19
7,22,sedean,22
7,22,truck,16
7,22,van,18
7,22,van,21
7,22,van,17
7,22,motor,35
7,22,sedean,13
7,22,motor,23
7,23,van,17
7,23,sedean,18
7,23,sedean,12
7,23,van,22
7,23,truck,22
7,23,sedean,62
7,23,sedean,12
7,23,sedean,23
